experiment,groups_used,MAE,RMSE,R2,delta_MAE
full_model,all,5.316,10.718,0.8885,0.0
drop_lags,all minus lags,20.596,28.854,0.1917,15.28
drop_calendar,all minus calendar,5.732,11.188,0.8785,0.416
drop_weather,all minus weather,5.548,10.751,0.8878,0.232
drop_reservoir,all minus reservoir,5.448,10.744,0.8879,0.132
drop_commodities,all minus commodities,5.368,10.644,0.89,0.052
drop_load_wsf,all minus load_wsf,5.347,10.683,0.8892,0.031
only_lags,lags,5.565,11.043,0.8816,0.249
only_calendar,lags + calendar,5.318,10.492,0.8931,0.002
only_weather,lags + weather,5.652,11.178,0.8787,0.336
only_reservoir,lags + reservoir,5.647,11.207,0.878,0.331
only_commodities,lags + commodities,5.614,11.109,0.8802,0.298
only_load_wsf,lags + load_wsf,5.586,11.064,0.8812,0.27
