zone,window,MAE,RMSE,sMAPE,R2
NO1,Train 2019-2021,6.137,11.786,15.91,0.8699
NO1,Train 2022-2023,6.095,11.304,16.22,0.8803
NO1,Train 2019-2023,5.582,10.884,15.09,0.889
NO2,Train 2019-2021,6.069,11.797,13.15,0.8649
NO2,Train 2022-2023,5.431,10.758,11.8,0.8876
NO2,Train 2019-2023,5.316,10.718,12.25,0.8885
NO3,Train 2019-2021,3.217,6.49,24.84,0.9257
NO3,Train 2022-2023,3.125,6.22,24.31,0.9317
NO3,Train 2019-2023,3.047,6.139,23.38,0.9335
NO4,Train 2019-2021,1.729,5.081,26.52,0.9238
NO4,Train 2022-2023,1.66,4.683,27.43,0.9353
NO4,Train 2019-2023,1.598,4.774,25.32,0.9328
NO5,Train 2019-2021,4.136,8.981,12.68,0.9003
NO5,Train 2022-2023,4.225,8.57,13.2,0.9092
NO5,Train 2019-2023,3.795,8.436,12.07,0.912
