step,window_start,window_end,n_hours,naive_MAE,naive_RMSE,naive_sMAPE,lgbm_MAE,lgbm_RMSE,lgbm_sMAPE
1,2025-01-01,2025-01-07,168,23.714,34.193,43.02,5.334,9.018,9.9
2,2025-01-08,2025-01-14,168,31.42,45.068,45.59,5.735,10.067,8.47
3,2025-01-15,2025-01-21,168,39.129,78.25,35.69,12.135,30.334,10.05
4,2025-01-22,2025-01-28,168,24.569,39.839,32.22,6.192,12.162,9.04
5,2025-01-29,2025-02-04,168,26.219,41.303,26.17,10.496,16.711,10.63
6,2025-02-05,2025-02-11,168,24.988,38.145,30.91,5.387,9.037,6.84
7,2025-02-12,2025-02-18,168,29.512,40.159,25.55,10.234,14.892,8.36
8,2025-02-19,2025-02-25,168,13.002,21.726,17.6,3.848,8.204,5.46
9,2025-02-26,2025-03-04,168,8.945,15.294,16.56,3.921,8.686,6.87
10,2025-03-05,2025-03-11,168,10.557,15.625,35.82,3.685,7.144,11.69
11,2025-03-12,2025-03-18,168,13.927,20.638,20.76,3.184,5.965,4.56
12,2025-03-19,2025-03-25,168,11.405,17.069,29.65,3.084,6.105,7.15
13,2025-03-26,2025-04-02,168,12.972,20.329,36.89,3.947,6.834,12.34
14,2025-04-02,2025-04-09,168,15.486,29.526,23.65,6.556,15.376,9.8
15,2025-04-09,2025-04-16,168,17.36,24.06,51.82,4.538,8.759,15.71
16,2025-04-16,2025-04-23,168,14.071,26.823,30.22,5.726,14.393,10.52
17,2025-04-23,2025-04-30,168,12.414,18.569,20.73,4.325,6.933,8.49
18,2025-04-30,2025-05-07,168,17.457,26.795,42.89,6.61,9.759,21.44
19,2025-05-07,2025-05-14,168,15.288,23.216,24.79,9.016,13.634,14.32
20,2025-05-14,2025-05-21,168,12.117,17.026,22.34,5.1,7.025,9.36
21,2025-05-21,2025-05-28,168,20.448,25.457,49.61,5.474,7.698,17.69
22,2025-05-28,2025-06-04,168,20.491,24.991,54.49,6.051,9.037,21.26
23,2025-06-04,2025-06-11,168,18.762,23.812,56.56,5.596,8.014,18.39
24,2025-06-11,2025-06-18,168,9.793,14.854,27.83,4.108,6.178,15.33
25,2025-06-18,2025-06-25,168,15.409,21.141,52.85,6.148,9.639,27.81
26,2025-06-25,2025-07-02,168,19.579,27.344,85.76,5.004,8.738,40.7
27,2025-07-02,2025-07-09,168,17.558,22.866,60.14,5.349,9.227,25.15
28,2025-07-09,2025-07-16,168,19.332,26.955,61.69,5.153,10.682,25.94
29,2025-07-16,2025-07-23,168,12.661,18.86,45.99,4.027,7.165,19.82
30,2025-07-23,2025-07-30,168,17.817,24.205,48.78,6.406,11.601,19.4
31,2025-07-30,2025-08-06,168,25.444,34.005,83.43,7.804,13.115,45.45
32,2025-08-06,2025-08-13,168,22.564,34.284,102.29,9.68,16.153,60.79
33,2025-08-13,2025-08-20,168,24.919,33.506,39.56,7.939,13.471,15.47
34,2025-08-20,2025-08-27,168,13.259,18.922,25.55,5.723,10.098,12.23
35,2025-08-27,2025-09-03,168,15.33,23.722,24.92,4.537,8.781,7.75
36,2025-09-03,2025-09-10,168,23.304,33.029,48.36,6.04,13.034,13.99
37,2025-09-10,2025-09-17,168,17.114,23.699,58.51,5.677,8.432,28.53
38,2025-09-17,2025-09-24,168,20.26,26.723,73.85,6.795,10.444,29.94
39,2025-09-24,2025-10-01,168,9.719,14.956,16.27,4.696,7.473,7.91
40,2025-10-01,2025-10-08,168,16.675,24.26,71.77,4.32,7.072,27.71
41,2025-10-08,2025-10-15,168,13.738,20.474,32.26,5.089,8.744,12.13
42,2025-10-15,2025-10-22,168,7.932,14.372,12.52,2.345,3.687,4.33
43,2025-10-22,2025-10-28,168,15.402,21.492,45.86,4.051,5.837,15.3
44,2025-10-29,2025-11-04,168,13.568,19.812,31.27,2.829,4.274,7.32
45,2025-11-05,2025-11-11,168,5.535,9.5,12.12,1.949,2.957,3.12
46,2025-11-12,2025-11-18,168,12.493,16.744,21.66,3.269,4.95,5.49
47,2025-11-19,2025-11-25,168,32.597,52.728,25.48,9.315,19.07,6.53
48,2025-11-26,2025-12-02,168,19.889,39.161,17.78,3.271,7.41,3.41
49,2025-12-03,2025-12-09,168,12.408,17.59,16.3,3.948,7.522,4.68
50,2025-12-10,2025-12-16,168,17.67,23.092,26.07,2.74,5.069,4.11
51,2025-12-17,2025-12-23,168,10.074,17.017,21.64,2.19,3.506,5.42
52,2025-12-24,2025-12-30,168,5.553,9.677,7.54,1.985,3.164,2.7
