zone,feature_group,MAE,R2,delta_MAE,delta_R2
NO1,lags,22.622,0.106,17.040,0.783
NO1,calendar,5.914,0.879,0.332,0.010
NO1,weather,5.570,0.891,-0.012,-0.002
NO1,reservoir,5.601,0.891,0.019,-0.002
NO1,commodities,5.648,0.889,0.066,0.000
NO1,load_wsf,5.656,0.889,0.074,0.000
NO2,lags,20.596,0.192,15.280,0.697
NO2,calendar,5.732,0.878,0.416,0.010
NO2,weather,5.548,0.888,0.232,0.001
NO2,reservoir,5.448,0.888,0.132,0.001
NO2,commodities,5.368,0.890,0.052,-0.002
NO2,load_wsf,5.347,0.889,0.031,-0.001
NO3,lags,23.342,-0.347,20.295,1.280
NO3,calendar,3.137,0.929,0.090,0.005
NO3,weather,3.006,0.935,-0.041,-0.002
NO3,reservoir,3.022,0.934,-0.025,-0.000
NO3,commodities,3.020,0.933,-0.027,0.000
NO3,load_wsf,3.008,0.934,-0.039,-0.001
NO4,lags,25.372,-1.196,23.774,2.129
NO4,calendar,1.640,0.930,0.042,0.003
NO4,weather,1.605,0.936,0.007,-0.003
NO4,reservoir,1.598,0.935,0.000,-0.002
NO4,commodities,1.604,0.933,0.006,-0.000
NO4,load_wsf,1.619,0.935,0.021,-0.002
NO5,lags,26.658,-0.301,22.863,1.213
NO5,calendar,4.029,0.904,0.234,0.008
NO5,weather,3.840,0.912,0.045,-0.000
NO5,reservoir,3.769,0.913,-0.026,-0.001
NO5,commodities,3.773,0.914,-0.022,-0.002
NO5,load_wsf,3.827,0.912,0.032,0.000
