zone,feature_group,MAE,R2,delta_MAE_vs_full,delta_R2_vs_full
NO1,lags (only),5.808,0.882,0.226,-0.008
NO1,calendar,5.569,0.894,-0.013,0.005
NO1,weather,5.846,0.880,0.264,-0.009
NO1,reservoir,5.920,0.878,0.338,-0.011
NO1,commodities,5.946,0.879,0.364,-0.010
NO1,load_wsf,5.767,0.883,0.185,-0.006
NO2,lags (only),5.565,0.882,0.249,-0.007
NO2,calendar,5.318,0.893,0.002,0.005
NO2,weather,5.652,0.879,0.336,-0.010
NO2,reservoir,5.647,0.878,0.331,-0.010
NO2,commodities,5.614,0.880,0.298,-0.008
NO2,load_wsf,5.586,0.881,0.270,-0.007
NO3,lags (only),3.080,0.929,0.033,-0.004
NO3,calendar,2.989,0.934,-0.058,0.001
NO3,weather,3.081,0.929,0.034,-0.004
NO3,reservoir,3.131,0.926,0.084,-0.007
NO3,commodities,3.104,0.929,0.057,-0.005
NO3,load_wsf,3.067,0.930,0.020,-0.003
NO4,lags (only),1.644,0.929,0.046,-0.004
NO4,calendar,1.576,0.935,-0.022,0.002
NO4,weather,1.603,0.931,0.005,-0.002
NO4,reservoir,1.655,0.929,0.057,-0.003
NO4,commodities,1.657,0.930,0.059,-0.002
NO4,load_wsf,1.624,0.930,0.026,-0.002
NO5,lags (only),3.905,0.908,0.110,-0.004
NO5,calendar,3.704,0.917,-0.091,0.005
NO5,weather,3.962,0.906,0.167,-0.007
NO5,reservoir,3.950,0.907,0.155,-0.005
NO5,commodities,3.974,0.906,0.179,-0.006
NO5,load_wsf,3.911,0.910,0.116,-0.003
